gen,random best,genetic best
1,2,3
2,3,3
3,3,3
4,3,3
5,2,3
6,3,3
7,3,4
8,3,4
9,2,4
10,2,4
11,3,4
12,3,4
13,2,4
14,2,4
15,3,4
16,3,4
17,4,4
18,3,4
19,3,4
20,3,4
21,3,4
22,3,4
23,3,4
24,2,4
25,3,4
26,2,4
27,3,4
28,2,5
29,3,5
30,2,5
31,3,5
32,3,5
33,3,5
34,2,5
35,2,5
36,4,5
37,3,5
38,2,5
39,3,5
40,3,5
41,3,5
42,3,5
43,3,5
44,3,5
45,3,5
46,3,5
47,3,5
48,3,6
49,3,6
50,3,6
51,3,6
52,3,6
53,3,6
54,3,6
55,3,6
56,3,6
57,3,6
58,2,6
59,3,6
60,3,6
61,3,6
62,3,6
63,2,6
64,2,6
65,3,6
66,3,6
67,3,6
68,3,6
69,3,6
70,2,6
71,3,6
72,3,6
73,3,6
74,3,6
75,3,6
76,3,6
77,3,6
78,3,6
79,3,6
80,3,7
81,3,7
82,2,6
83,2,6
84,3,6
85,2,6
86,2,6
87,3,6
88,2,6
89,2,6
90,3,6
91,3,6
92,3,7
93,3,6
94,3,6
95,3,6
96,2,6
97,2,6
98,3,6
99,3,6
100,3,7
101,3,7
102,3,6
103,3,6
104,3,6
105,2,6
106,3,6
107,3,6
108,3,6
109,3,6
110,2,6
111,3,6
112,3,7
113,2,7
114,3,7
115,3,7
116,3,6
117,3,7
118,3,7
119,2,7
120,3,7
121,3,7
122,2,8
123,3,9
124,3,9
125,3,9
126,3,9
127,2,9
128,3,9
129,3,9
130,3,9
131,3,9
132,3,9
133,3,9
134,3,9
135,3,9
136,3,9
137,3,9
138,2,9
139,3,9
140,2,9
